Address,City,State,Pincode
"Akshay Tech Park, No-72 & 73, II Floor, EPIP Area, Phase-I, White Field",Bengaluru,Karnataka,560066
"4th Floor, Plot No : 1-98/8/75-A & 75-B, Titanium Jublee Enclave, Madhapur",Hyderabad,Telangana,500081
"Plot No. 4, Aykon Tower, 2nd Floor, Sec-135, Gautam Buddha Nagar",Noida,Uttar Pradesh,201304
"4th Floor, Pragathi Business District, Reliance Trends Building, Udipi Manipal Road, Manipal",Manipal,Karnataka,576104
"Awfis Space Solutions, 111, Rajiv Gandhi Road, Old Mahabalipuram Road, Kottiwakkam Village, OMR",Chennai,Tamil Nadu,600041
"Awfis Space Solutions, 3rd floor, Baner Business Bay, Baner-Sus road, Behind Audi, Off Mumbai Bangalore Highway",Pune,Maharashtra,411021
"BSquare CO-Works SURFACES PLUS, Nr Avalon Hotel, In croma Lane, In front of K18 Bunglow, Mango Garden city Road, Thaltej",Ahmedabad,Gujarat,380054
"3013 Fountainview St, Ste 180",Houston,Texas,77057
"MK 1-18-10, Arte Mont Kiara, No-15, Jalan Sultan Haji Ahmed shah",Kuala Lumpur,Malaysia,50480
"111 North Bridge Road #21-01, Peninsula Plaza",Singapore,Singapore,179098
"c/o QUBA GmbH, Beethovenplatz 2",München,Germany,80336
